1000 393000
2000 822000
3000 1225000
4000 1715000
5000 2143000
6000 2569000
7000 3071000
8000 3408000
9000 3971000
10000 4440000
11000 4928000
12000 5378000
13000 5933000
14000 6239000
15000 6785000
16000 7233000
17000 7938000
18000 8175000
19000 8615000
20000 9255000
21000 9753000
22000 10236000
23000 10918000
24000 11288000
25000 11783000
26000 12406000
27000 12869000
28000 13220000
29000 13961000
30000 14413000
31000 14776000
32000 15519000
33000 16157000
34000 16225000
35000 16949000
36000 17632000
37000 17743000
38000 18747000
39000 19020000
40000 19646000
41000 19925000
42000 20510000
43000 21027000
44000 21680000
45000 22232000
46000 22534000
47000 23273000
48000 24052000
49000 24786000
50000 24611000
51000 25687000
52000 26320000
53000 27269000
54000 27342000
55000 27561000
56000 28961000
57000 29093000
58000 28807000
59000 29928000
60000 30319000
61000 30806000
62000 31692000
63000 32106000
64000 32809000
65000 33380000
66000 34336000
67000 34126000
68000 34849000
69000 35419000
70000 36221000
71000 37407000
72000 36937000
73000 37861000
74000 38623000
75000 39160000
76000 40007000
77000 40651000
78000 41100000
79000 42541000
80000 42520000
81000 43165000
82000 43351000
83000 43740000
84000 44625000
85000 44978000
86000 45932000
87000 45609000
88000 46118000
89000 46250000
90000 46887000
91000 48201000
92000 47872000
93000 47926000
94000 48406000
95000 50279000
96000 50164000
97000 50406000
98000 51322000
99000 52197000
100000 52599000
