2	12000
2	12000
1	16000
3	16000
4	21000
3	22000
5	30000
6	37000
4	38000
5	44000
7	46000
4	47000
6	56000
7	68000
6	128000
6	145000
8	271000
8	309000
10	468000
10	585000
12	726000
9	862000
12	935000
14	1059000
14	1381000
12	2720000
12	2823000
15	6567000
15	7165000
18	12891000
18	14641000
16	19196000
21	22874000
21	26984000
20	68656000
20	70694000
24	177185000
24	193976000
28	392634000
28	450534000
25	576642000
30	2115510000
30	2222900000
35	6162703000
35	6626670000
36	18868186000
42	74998339000
42	77804563000
49	742830001000

