1 72132
2 2494
3 12468
4 28074
5 67710
6 147779
7 305276
2 24006
4 8487
6 98579
8 329170
10 1188200
12 3115438
14 8520161
3 35707
6 36720
9 684857
12 3270044
15 15151964
18 58555636
21 221493727
4 52020
8 124206
12 3486353
16 22376188
20 165175928
24 678509475
28 3125508207
5 79177
10 332077
15 14324003
20 124716209
25 926083791
30 6926066388
35 32277786555
6 107304
12 882642
18 54254057
24 617765769
30 5718662025
36 39044354309
42 264194615059
7 129317
14 2018817
21 163989213
28 2412656114
35 27102332706
42 235976848206
49 1875544735156
