1	47000
2	35000
2	40000
3	45000
3	24000
4	62000
4	158000
4	36000
5	74000
5	108000
6	396000
6	305000
6	195000
6	214000
7	480000
7	72000
8	644000
8	269000
9	768000
10	1137000
10	691000
12	5294000
12	2405000
12	1281000
12	2499000
14	8316000
14	1874000
15	4931000
15	2772000
16	12468000
18	113649000
18	16365000
20	26528000
20	18354000
21	16472000
21	112525000
24	237813000
24	328091000
25	181833000
28	939643000
28	737019000
30	1972660000
30	2555358000
35	2028984000
35	23816295000
36	10258851000
42	143972214000
42	72245644000
49	8980970593000
