1	47000
2	35000
2	38000
3	52000
3	24000
4	69000
4	169000
4	34000
5	83000
5	135000
6	108000
6	551000
6	137000
6	176000
7	683000
7	322000
8	665000
8	304000
9	873000
10	1535000
10	537000
12	9101000
12	2365000
12	1295000
12	452000
14	5439000
14	4123000
15	3067000
15	6606000
16	8924000
18	72459000
18	14112000
20	60458000
20	16197000
21	46308000
21	105394000
24	234134000
24	49241000
25	172564000
28	3358939000
28	5405958000
30	512832000
30	1108891000
35	946183000
35	6766796000
36	174284839000
42	403604359000
42	27160590000
49	554356306000
