1	17000
2	13000
2	13000
3	18000
3	23000
4	24000
4	56000
4	33000
5	90000
5	42000
6	138000
6	191000
6	130000
6	161000
7	192000
7	71000
8	430000
8	437000
9	1093000
10	610000
10	1281000
12	570000
12	2440000
12	1925000
12	2130000
14	3470000
14	3026000
15	4728000
15	7359000
16	11803000
18	34277000
18	20161000
20	33008000
20	30294000
21	60529000
21	58991000
24	692907000
24	271402000
25	359554000
28	2493226000
28	740832000
30	5441058000
30	1195859000
35	14594845000
35	9392622000
36	31917547000
42	38778833000
42	244669228000
49	271066687000
