2 44000
3 35000
4 50000
5 68000
6 254000
7 377000
8 131000
3 37000
4 158000
5 308000
6 765000
7 566000
8 5105000
9 6710000
4 65000
5 362000
6 2426000
7 4513000
8 4386000
9 21516000
10 54226000
5 34000
6 511000
7 1323000
8 11020000
9 49813000
10 49718000
11 721578000
6 42000
7 686000
8 18815000
9 33369000
10 254604000
11 1990592000
12 8249429000
7 213000
8 4378000
9 42444000
10 228170000
11 618761000
12 182820668000
13 191469755000
8 250000
9 11043000
10 89595000
11 1155303000
12 18060729000
13 136147859000
14 2829276107000
