2 45000
3 37000
4 53000
5 69000
6 252000
7 581000
8 259000
3 13000
4 55000
5 109000
6 231000
7 720000
8 1756000
9 1004000
4 24000
5 129000
6 845000
7 1840000
8 4955000
9 12205000
10 60483000
5 34000
6 617000
7 2421000
8 8282000
9 19565000
10 221540000
11 235960000
6 41000
7 686000
8 4981000
9 18266000
10 277449000
11 1986276000
12 1544067000
7 54000
8 3239000
9 10633000
10 77700000
11 991022000
12 62982179000
13 199299656000
8 71000
9 2463000
10 33144000
11 4207641000
12 22858783000
13 113782253000
14 816544524000
