2 47000
3 35000
4 45000
5 62000
6 74000
7 396000
8 480000
3 40000
4 158000
5 305000
6 644000
7 1137000
8 5294000
9 8316000
4 24000
5 195000
6 768000
7 2405000
8 4931000
9 113649000
10 16472000
5 36000
6 269000
7 1281000
8 12468000
9 26528000
10 237813000
11 939643000
6 108000
7 691000
8 2772000
9 18354000
10 181833000
11 1972660000
12 2028984000
7 214000
8 2499000
9 16365000
10 328091000
11 2555358000
12 10258851000
13 143972214000
8 72000
9 1874000
10 112525000
11 737019000
12 23816295000
13 72245644000
14 8980970593000
