2 47000
3 35000
4 52000
5 69000
6 83000
7 108000
8 683000
3 38000
4 169000
5 551000
6 665000
7 1535000
8 9101000
9 5439000
4 24000
5 137000
6 873000
7 2365000
8 3067000
9 72459000
10 46308000
5 34000
6 304000
7 1295000
8 8924000
9 60458000
10 234134000
11 3358939000
6 135000
7 537000
8 6606000
9 16197000
10 172564000
11 512832000
12 946183000
7 176000
8 452000
9 14112000
10 49241000
11 1108891000
12 174284839000
13 403604359000
8 322000
9 4123000
10 105394000
11 5405958000
12 6766796000
13 27160590000
14 554356306000
