1	45000
2	35000
2	37000
3	51000
3	23000
4	69000
4	158000
4	33000
5	248000
5	129000
6	108000
6	300000
6	129000
6	160000
7	262000
7	314000
8	634000
8	291000
9	882000
10	1773000
10	427000
12	3727000
12	2633000
12	1582000
12	716000
14	3007000
14	838000
15	12954000
15	11746000
16	10801000
18	16365000
18	38301000
20	77970000
20	48313000
21	44764000
21	46505000
24	267326000
24	71901000
25	139020000
28	393039000
28	240775000
30	2279902000
30	1136281000
35	27424205000
35	1761174000
36	24896054000
42	199752335000
42	20244634000
49	3787265300000
